Quem foi o mentor de Arthas na Ordem do Punho de Prata?,"Uther, o Portador da Luz."
Qual herói Sasquatch Oracle deve ser derrotado para obter as 'Claws of Attack $+$3'?,O Sasquatch Oracle.
Qual cidade capturada era o destino final pretendido pelos refugiados humanos em Lordaeron?,Dalaran.
Qual era a função de Little Timmy na missão 'King Arthas'?,Vendedor de itens ocultos (Loja do Timmy).
A praga de Lordaeron causou comportamento agressivo nos moradores em poucas horas após _____.,os primeiros sintomas.
Arthas foi consagrado como Cavaleiro do Punho de Prata na _____.,Catedral da Luz.
O intermédio entre o Reino Inferior e o Superior em Nortúndria é chamado de _____.,Azjol-Nerub.
"Arthas assassinou seu pai, Rei Terenas, após retornar de sua busca pela _____.",Frostmourne.
O mestre de Arthas na campanha 'Legado dos Malditos' é o _____.,Rei Lich.
"Na versão do romance, o Mestre das Lâminas do clã Rocha Negra sacrifica _____ homens.",$3$ homens.
O título oficial de Arthas antes de se tornar rei era Príncipe de _____.,Lordaeron.
A capitã elfa que lidera as forças de patrulha na missão de Lordaeron é _____.,Jennalla Deemspring.
"Conforme a Gazeta, a origem da praga era desconhecida, apesar das suspeitas de influências _____.",necromânticas.
Quem era o lorde dreadlord alvo da vingança de Arthas em Nortúndria?,Mal'Ganis.
Qual era o nome da fazenda onde Arthas e Jaina encontraram os primeiros zumbis no livro?,Propriedade Balnir (Balnir Farmstead).
Qual item consumível Sylvanas utiliza para restaurar mana e vida de suas forças?,Pergaminho de Restauração.
O Trono de Gelo está localizado no topo da Geleira de _____.,Coroa de Gelo (Icecrown).
Qual era a relação entre Arthas e Jaina Proudmoore antes da Terceira Guerra?,Eles eram amantes e compartilhavam celebrações festivas juntos.
Quem acompanhou Lothar e Varian quando chegaram a Lordaeron como refugiados de Stormwind?,Khadgar.
Qual o nome da organização que buscava ruínas em Andorhal?,Liga dos Exploradores.
Qual herói aliado de Arthas em Nortúndria pertencia à raça dos nerubianos?,Anub'arak.
Qual é o status oficial de Arthas no local de Stratholme segundo a Gazeta de Azeroth?,Confirmado no local.
A 'Gazeta de Azeroth' é classificada como que tipo de documento?,Documento Público.
Qual era o principal objetivo do Príncipe Arthas ao ordenar o isolamento de Stratholme?,Impedir que a infecção alcançasse outras regiões de Lordaeron.
Quem era o correspondente da Gazeta posicionado em Dalaran?,Um Arquimago de Dalaran.
Qual criatura mística guardava a Frostmourne e avisou Arthas para se afastar?,O Guardião (ou espírito elemental).
Qual paladino possuía o título 'o Orcslayer'?,Dagren.
Qual era a missão de Sylvanas no ataque inicial aos Dreadlords?,Liderar uma porção do Flagelo para impedir a fuga dos refugiados.
A praga disseminada em Lordaeron é referida como a Praga da _____.,Morte-viva.
O Trono de Gelo foi descrito como a _____ do Rei Lich.,prisão.
Arthas era um fiel paladino da Ordem do _____.,Punho de Prata.
O espírito da Frostmourne guiou Arthas através dos ermos árticos do _____.,norte (Nortúndria).
"Na missão 'King Arthas', qual bônus é fornecido pelo item 'Gauntlets of Ogre Strength $+$3'?",Aumento na força do herói.
Qual era a função dos Necromantes assembled na base da geleira de Icecrown?,Servir como forças de recepção para Arthas e Anub'arak.
Quem ordenou que os Dreadlords permanecessem em Lordaeron após a derrota da Legião?,Arquimonde.
Por que o Trono de Gelo estava perdendo energias?,Devido a uma fratura em sua estrutura de gelo.
Onde Arthas e Anub'arak encontraram a entrada para os reinos subterrâneos?,Nas Cavernas da Teia Sombria (Shadow Web Caverns).
Qual era o tributo que Arthas pretendia prestar a Ner'zhul através da morte dos refugiados?,O massacre de toda a humanidade remanescente em Lordaeron.
